## ================================================================================================================
## Date de Création du fichier     : 2022-11-28
## Auteur                          : Observatoire météorologique du petit-Séminaire Collège St Martial
## Créateur du fichier	           : Ralph Bathelemy (bathelemy@geoazur.unice.fr)
## Entité                          : URGEO - GEOAZUR - INRAE
## ================================================================================================================
## Nom station                     : ST-MICHEL
## ----------------------------------------------------------------------------------------------------------------
## Longitude                       : -72.333         ; (Moron et al., 2015 [°W])
## Latitude                        : 19.367          ; (Moron et al., 2015 [°N])
## Données manquantes              :   3             ; [%]
## Pluies disponibles              : 1920-01-01      ; 1940-12-31
## ================================================================================================================
## Champs----------------------------------------------------------------------------------------------------------
## Date                            : date [AAAA-MM-JJ]
## P                               : Pluie [mm/j]
## ================================================================================================================
## Moron, V., Frelat, R., Jean-Jeune, P.K., Gaucherel, C., 2015. Interannual and intra-annual variability of
## rainfall in Haiti (1905–2005). Clim. Dyn. 45, 915–932. https://doi.org/10.1007/s00382-014-2326-y
## ================================================================================================================

Date;	P
1923-06-26;	0
1923-06-27;	0
1923-06-28;	0
1923-06-29;	0
1923-06-30;	7.15
1923-07-01;	3.85
1923-07-02;	3.85
1923-07-03;	0
1923-07-04;	16.55
1923-07-05;	0
1923-07-06;	25.5
1923-07-07;	0
1923-07-08;	6.4
1923-07-09;	0
1923-07-10;	0
1923-07-11;	0
1923-07-12;	0
1923-07-13;	0
1923-07-14;	0
1923-07-15;	15.3
1923-07-16;	0
1923-07-17;	0
1923-07-18;	0
1923-07-19;	0
1923-07-20;	0
1923-07-21;	0
1923-07-22;	3.85
1923-07-23;	0
1923-07-24;	5.1
1923-07-25;	2.55
1923-07-26;	0
1923-07-27;	0
1923-07-28;	3.85
1923-07-29;	5.1
1923-07-30;	0
1923-07-31;	0
1923-08-01;	0
1923-08-02;	0
1923-08-03;	0
1923-08-04;	0
1923-08-05;	0
1923-08-06;	0
1923-08-07;	3.85
1923-08-08;	0
1923-08-09;	5.1
1923-08-10;	2.55
1923-08-11;	0
1923-08-12;	0
1923-08-13;	0
1923-08-14;	0
1923-08-15;	0
1923-08-16;	14.4
1923-08-17;	6.35
1923-08-18;	15.15
1923-08-19;	6
1923-08-20;	6.35
1923-08-21;	0
1923-08-22;	0
1923-08-23;	0
1923-08-24;	0
1923-08-25;	0
1923-08-26;	0
1923-08-27;	0
1923-08-28;	15.05
1923-08-29;	0
1923-08-30;	0
1923-08-31;	9.15
1923-09-01;	0
1923-09-02;	4.4
1923-09-03;	7.35
1923-09-04;	0
1923-09-05;	7.65
1923-09-06;	0
1923-09-07;	0
1923-09-08;	0
1923-09-09;	97.55
1923-09-10;	0
1923-09-11;	2.25
1923-09-12;	0
1923-09-13;	0
1923-09-14;	7.95
1923-09-15;	10.85
1923-09-16;	0
1923-09-17;	0
1923-09-18;	0
1923-09-19;	0
1923-09-20;	13
1923-09-21;	0
1923-09-22;	0
1923-09-23;	0
1923-09-24;	0
1923-09-25;	127.85
1923-09-26;	1.5
1923-09-27;	0
1923-09-28;	0
1923-09-29;	0
1923-09-30;	15.35
1923-10-01;	0
1923-10-02;	8.45
1923-10-03;	0
1923-10-04;	0
1923-10-05;	0
1923-10-06;	0
1923-10-07;	0
1923-10-08;	0
1923-10-09;	4.8
1923-10-10;	9.9
1923-10-11;	28.2
1923-10-12;	0
1923-10-13;	4.55
1923-10-14;	2.95
1923-10-15;	0
1923-10-16;	0.85
1923-10-17;	3.9
1923-10-18;	0
1923-10-19;	0
1923-10-20;	0
1923-10-21;	0
1923-10-22;	0
1923-10-23;	0
1923-10-24;	18.65
1923-10-25;	6.5
1923-10-26;	0
1923-10-27;	7.35
1923-10-28;	11.75
1923-10-29;	0.5
1923-10-30;	0
1923-10-31;	0
1923-11-01;	0
1923-11-02;	2
1923-11-03;	5.85
1923-11-04;	0
1923-11-05;	0
1923-11-06;	0
1923-11-07;	0
1923-11-08;	4.55
1923-11-09;	6.9
1923-11-10;	27.85
1923-11-11;	0
1923-11-12;	0
1923-11-13;	0
1923-11-14;	0
1923-11-15;	0
1923-11-16;	0
1923-11-17;	2
1923-11-18;	0
1923-11-19;	0
1923-11-20;	0
1923-11-21;	0
1923-11-22;	0
1923-11-23;	0
1923-11-24;	0
1923-11-25;	0
1923-11-26;	0
1923-11-27;	0
1923-11-28;	0
1923-11-29;	0
1923-11-30;	0
1923-12-01;	0
1923-12-02;	1.2
1923-12-03;	0
1923-12-04;	0
1923-12-05;	0
1923-12-06;	0
1923-12-07;	0
1923-12-08;	0
1923-12-09;	0
1923-12-10;	0
1923-12-11;	0
1923-12-12;	0
1923-12-13;	0
1923-12-14;	0
1923-12-15;	0
1923-12-16;	0
1923-12-17;	0
1923-12-18;	0
1923-12-19;	0
1923-12-20;	0
1923-12-21;	0
1923-12-22;	0
1923-12-23;	0
1923-12-24;	0
1923-12-25;	0
1923-12-26;	0
1923-12-27;	0
1923-12-28;	0
1923-12-29;	0
1923-12-30;	0
1923-12-31;	0
1924-01-01;	0
1924-01-02;	0
1924-01-03;	0
1924-01-04;	0
1924-01-05;	0
1924-01-06;	26
1924-01-07;	2
1924-01-08;	2.7
1924-01-09;	0
1924-01-10;	0
1924-01-11;	0
1924-01-12;	0
1924-01-13;	0
1924-01-14;	0
1924-01-15;	0
1924-01-16;	0
1924-01-17;	0
1924-01-18;	0
1924-01-19;	0
1924-01-20;	0
1924-01-21;	0
1924-01-22;	0
1924-01-23;	0
1924-01-24;	0
1924-01-25;	0
1924-01-26;	0
1924-01-27;	0
1924-01-28;	0
1924-01-29;	0
1924-01-30;	0
1924-01-31;	0
1924-02-01;	0
1924-02-02;	2
1924-02-03;	0
1924-02-04;	0
1924-02-05;	0
1924-02-06;	0
1924-02-07;	2
1924-02-08;	11.7
1924-02-09;	0
1924-02-10;	0
1924-02-11;	0
1924-02-12;	0
1924-02-13;	0
1924-02-14;	0
1924-02-15;	0
1924-02-16;	0
1924-02-17;	0
1924-02-18;	0
1924-02-19;	0
1924-02-20;	0
1924-02-21;	0
1924-02-22;	0
1924-02-23;	0
1924-02-24;	0
1924-02-25;	0
1924-02-26;	0
1924-02-27;	0
1924-02-28;	0
1924-02-29;	0
1924-03-01;	0
1924-03-02;	0
1924-03-03;	0
1924-03-04;	0
1924-03-05;	0
1924-03-06;	0
1924-03-07;	0
1924-03-08;	0
1924-03-09;	0
1924-03-10;	0
1924-03-11;	0
1924-03-12;	0
1924-03-13;	0
1924-03-14;	0
1924-03-15;	0
1924-03-16;	0
1924-03-17;	0
1924-03-18;	0
1924-03-19;	0
1924-03-20;	0
1924-03-21;	0
1924-03-22;	0
1924-03-23;	0
1924-03-24;	0
1924-03-25;	0
1924-03-26;	0
1924-03-27;	0
1924-03-28;	0
1924-03-29;	0
1924-03-30;	0
1924-03-31;	0
1924-04-01;	0
1924-04-02;	0
1924-04-03;	0
1924-04-04;	0
1924-04-05;	0
1924-04-06;	0
1924-04-07;	0
1924-04-08;	0
1924-04-09;	0
1924-04-10;	0
1924-04-11;	0
1924-04-12;	0
1924-04-13;	0
1924-04-14;	0
1924-04-15;	0
1924-04-16;	0
1924-04-17;	7.7
1924-04-18;	0
1924-04-19;	0
1924-04-20;	0
1924-04-21;	19
1924-04-22;	7.4
1924-04-23;	0
1924-04-24;	0
1924-04-25;	0
1924-04-26;	0
1924-04-27;	0
1924-04-28;	0
1924-04-29;	0
1924-04-30;	0
1924-05-01;	0
1924-05-02;	0
1924-05-03;	0
1924-05-04;	52.4
1924-05-05;	9.7
1924-05-06;	19
1924-05-07;	14.4
1924-05-08;	2.7
1924-05-09;	0
1924-05-10;	0
1924-05-11;	0
1924-05-12;	5
1924-05-13;	19
1924-05-14;	5
1924-05-15;	26
1924-05-16;	0
1924-05-17;	0
1924-05-18;	0
1924-05-19;	0
1924-05-20;	0
1924-05-21;	7.4
1924-05-22;	14.4
1924-05-23;	0
1924-05-24;	0
1924-05-25;	0
1924-05-26;	0
1924-05-27;	0
1924-05-28;	0
1924-05-29;	5.4
1924-05-30;	0
1924-05-31;	0
1924-06-01;	0
1924-06-02;	5.7
1924-06-03;	0
1924-06-04;	0
1924-06-05;	0
1924-06-06;	0
1924-06-07;	0
1924-06-08;	0
1924-06-09;	0
1924-06-10;	0
1924-06-11;	26.7
1924-06-12;	11.1
1924-06-13;	0
1924-06-14;	5
1924-06-15;	32.7
1924-06-16;	27.8
1924-06-17;	0
1924-06-18;	1.7
1924-06-19;	0
1924-06-20;	0
1924-06-21;	0
1924-06-22;	0
1924-06-23;	0
1924-06-24;	0
1924-06-25;	0
1924-06-26;	0
1924-06-27;	0
1924-06-28;	0
1924-06-29;	9.5
1924-06-30;	5.1
1924-07-01;	0
1924-07-02;	0
1924-07-03;	10.4
1924-07-04;	0
1924-07-05;	0
1924-07-06;	16.6
1924-07-07;	0
1924-07-08;	0
1924-07-09;	0
1924-07-10;	14.4
1924-07-11;	0
1924-07-12;	0
1924-07-13;	4.2
1924-07-14;	0
1924-07-15;	0
1924-07-16;	0
1924-07-17;	0
1924-07-18;	0
1924-07-19;	8.4
1924-07-20;	18.6
1924-07-21;	10.4
1924-07-22;	18.6
1924-07-23;	0
1924-07-24;	0
1924-07-25;	0
1924-07-26;	0
1924-07-27;	0
1924-07-28;	0
1924-07-29;	6.2
1924-07-30;	0
1924-07-31;	0
1924-08-01;	0
1924-08-02;	0
1924-08-03;	0
1924-08-04;	6.2
1924-08-05;	0
1924-08-06;	0
1924-08-07;	0
1924-08-08;	0
1924-08-09;	10.4
1924-08-10;	0
1924-08-11;	0
1924-08-12;	0
1924-08-13;	0
1924-08-14;	40.6
1924-08-15;	0
1924-08-16;	0
1924-08-17;	0
1924-08-18;	0
1924-08-19;	0
1924-08-20;	16.2
1924-08-21;	22.4
1924-08-22;	0
1924-08-23;	0
1924-08-24;	0
1924-08-25;	26.6
1924-08-26;	0
1924-08-27;	0
1924-08-28;	0
1924-08-29;	0
1924-08-30;	0
1924-08-31;	0
1924-09-01;	52.7
1924-09-02;	0
1924-09-03;	0
1924-09-04;	0
1924-09-05;	0
1924-09-06;	0
1924-09-07;	0
1924-09-08;	0
1924-09-09;	0
1924-09-10;	22.4
1924-09-11;	0
1924-09-12;	0
1924-09-13;	5
1924-09-14;	10.4
1924-09-15;	0
1924-09-16;	13
1924-09-17;	7
1924-09-18;	0
1924-09-19;	0
1924-09-20;	0
1924-09-21;	60.1
1924-09-22;	6.2
1924-09-23;	0
1924-09-24;	7.1
1924-09-25;	0
1924-09-26;	7
1924-09-27;	0
1924-09-28;	14.4
1924-09-29;	1.4
1924-09-30;	21.4
1924-10-01;	0
1924-10-02;	0
1924-10-03;	3
1924-10-04;	0
1924-10-05;	0
1924-10-06;	0
1924-10-07;	16.2
1924-10-08;	37.7
1924-10-09;	17.2
1924-10-10;	0
1924-10-11;	0
1924-10-12;	0
1924-10-13;	22.4
1924-10-14;	24.4
1924-10-15;	2.2
1924-10-16;	1.6
1924-10-17;	0
1924-10-18;	0
1924-10-19;	37.1
1924-10-20;	0
1924-10-21;	0
1924-10-22;	0
1924-10-23;	10.1
1924-10-24;	0
1924-10-25;	0
1924-10-26;	0
1924-10-27;	0
1924-10-28;	0
1924-10-29;	0
1924-10-30;	0
1924-10-31;	10.7
1924-11-01;	0
1924-11-02;	0
1924-11-03;	0
1924-11-04;	0
1924-11-05;	3
1924-11-06;	27
1924-11-07;	0
1924-11-08;	5.7
1924-11-09;	0
1924-11-10;	0
1924-11-11;	10
1924-11-12;	0
1924-11-13;	0
1924-11-14;	0
1924-11-15;	0
1924-11-16;	32.4
1924-11-17;	10.4
1924-11-18;	0
1924-11-19;	0
1924-11-20;	0
1924-11-21;	0
1924-11-22;	0
1924-11-23;	0
1924-11-24;	0
1924-11-25;	0
1924-11-26;	0
1924-11-27;	0
1924-11-28;	0
1924-11-29;	0
1924-11-30;	0
1924-12-01;	9.7
1924-12-02;	0
1924-12-03;	0
1924-12-04;	0
1924-12-05;	0
1924-12-06;	0
1924-12-07;	0
1924-12-08;	0
1924-12-09;	0
1924-12-10;	0
1924-12-11;	0
1924-12-12;	0
1924-12-13;	0
1924-12-14;	0
1924-12-15;	0
1924-12-16;	0
1924-12-17;	0
1924-12-18;	0
1924-12-19;	0
1924-12-20;	0
1924-12-21;	0
1924-12-22;	0
1924-12-23;	0
1924-12-24;	0
1924-12-25;	0
1924-12-26;	0
1924-12-27;	0
1924-12-28;	0
1924-12-29;	0
1924-12-30;	0
1924-12-31;	0
1925-01-01;	0
1925-01-02;	0
1925-01-03;	0
1925-01-04;	0
1925-01-05;	0
1925-01-06;	0
1925-01-07;	0
1925-01-08;	0
1925-01-09;	0
1925-01-10;	0
1925-01-11;	0
1925-01-12;	0
1925-01-13;	0
1925-01-14;	0
1925-01-15;	0
1925-01-16;	0
1925-01-17;	0
1925-01-18;	0
1925-01-19;	0
1925-01-20;	0
1925-01-21;	0
1925-01-22;	0
1925-01-23;	0
1925-01-24;	0
1925-01-25;	0
1925-01-26;	0
1925-01-27;	0
1925-01-28;	0
1925-01-29;	0
1925-01-30;	0
1925-01-31;	0
1925-02-01;	0
1925-02-02;	0
1925-02-03;	0
1925-02-04;	0
1925-02-05;	0
1925-02-06;	0
1925-02-07;	3.4
1925-02-08;	0
1925-02-09;	0
1925-02-10;	0
1925-02-11;	0
1925-02-12;	0
1925-02-13;	0
1925-02-14;	0
1925-02-15;	0
1925-02-16;	0
1925-02-17;	0
1925-02-18;	16
1925-02-19;	1.1
1925-02-20;	0
1925-02-21;	0
1925-02-22;	0
1925-02-23;	0
1925-02-24;	0
1925-02-25;	0
1925-02-26;	0
1925-02-27;	0
1925-02-28;	0
1925-03-01;	0
1925-03-02;	0
1925-03-03;	0
1925-03-04;	0
1925-03-05;	2.7
1925-03-06;	16
1925-03-07;	0
1925-03-08;	0
1925-03-09;	0
1925-03-10;	0
1925-03-11;	0
1925-03-12;	0
1925-03-13;	0
1925-03-14;	0
1925-03-15;	0
1925-03-16;	0
1925-03-17;	0
1925-03-18;	0
1925-03-19;	0
1925-03-20;	0
1925-03-21;	0
1925-03-22;	0
1925-03-23;	0
1925-03-24;	0
1925-03-25;	0
1925-03-26;	0
1925-03-27;	0
1925-03-28;	0
1925-03-29;	10.3
1925-03-30;	0
1925-03-31;	41.4
1925-04-01;	5
1925-04-02;	0
1925-04-03;	0
1925-04-04;	2.1
1925-04-05;	96.7
1925-04-06;	0
1925-04-07;	0
1925-04-08;	0
1925-04-09;	0
1925-04-10;	10.9
1925-04-11;	6.4
1925-04-12;	28
1925-04-13;	0
1925-04-14;	0
1925-04-15;	0
1925-04-16;	0
1925-04-17;	1.3
1925-04-18;	0
1925-04-19;	4
1925-04-20;	0
1925-04-21;	0
1925-04-22;	1.4
1925-04-23;	0
1925-04-24;	0
1925-04-25;	2.4
1925-04-26;	6
1925-04-27;	15.3
1925-04-28;	1.3
1925-04-29;	0
1925-04-30;	0
1925-05-01;	0
1925-05-02;	10.6
1925-05-03;	50
1925-05-04;	0
1925-05-05;	0
1925-05-06;	74.2
1925-05-07;	16.3
1925-05-08;	8.4
1925-05-09;	16.7
1925-05-10;	62.4
1925-05-11;	13.6
1925-05-12;	51
1925-05-13;	0
1925-05-14;	5
1925-05-15;	0
1925-05-16;	0
1925-05-17;	0
1925-05-18;	0
1925-05-19;	7.1
1925-05-20;	0
1925-05-21;	0
1925-05-22;	0
1925-05-23;	0
1925-05-24;	0
1925-05-25;	0
1925-05-26;	9
1925-05-27;	36.1
1925-05-28;	0
1925-05-29;	6.4
1925-05-30;	1.4
1925-05-31;	11
1925-06-01;	51
1925-06-02;	0
1925-06-03;	11.6
1925-06-04;	0
1925-06-05;	0
1925-06-06;	0
1925-06-07;	0
1925-06-08;	0
1925-06-09;	0
1925-06-10;	0
1925-06-11;	0
1925-06-12;	8.3
1925-06-13;	5
1925-06-14;	0
1925-06-15;	0
1925-06-16;	25.7
1925-06-17;	0
1925-06-18;	0
1925-06-19;	0
1925-06-20;	0
1925-06-21;	18
1925-06-22;	0
1925-06-23;	0
1925-06-24;	1.9
1925-06-25;	0
1925-06-26;	0
1925-06-27;	0
1925-06-28;	0
1925-06-29;	12.4
1925-06-30;	2.2
1925-07-01;	0
1925-07-02;	36
1925-07-03;	0
1925-07-04;	0
1925-07-05;	0
1925-07-06;	0
1925-07-07;	1.4
1925-07-08;	0
1925-07-09;	0
1925-07-10;	0
1925-07-11;	0
1925-07-12;	0
1925-07-13;	29
1925-07-14;	2
1925-07-15;	0
1925-07-16;	0
1925-07-17;	0
1925-07-18;	8
1925-07-19;	0
1925-07-20;	4.8
1925-07-21;	0
1925-07-22;	0
1925-07-23;	48
1925-07-24;	48
1925-07-25;	0
1925-07-26;	20
1925-07-27;	0
1925-07-28;	46
1925-07-29;	35
1925-07-30;	0
1925-07-31;	10
1925-08-01;	0
1925-08-02;	0
1925-08-03;	34
1925-08-04;	27.6
1925-08-05;	0
1925-08-06;	12.4
1925-08-07;	0
1925-08-08;	9
1925-08-09;	0
1925-08-10;	0
1925-08-11;	4
1925-08-12;	0
1925-08-13;	0
1925-08-14;	0
1925-08-15;	0
1925-08-16;	0
1925-08-17;	0
1925-08-18;	0
1925-08-19;	0
1925-08-20;	0
1925-08-21;	7
1925-08-22;	12
1925-08-23;	0
1925-08-24;	0
1925-08-25;	0
1925-08-26;	0
1925-08-27;	0
1925-08-28;	0
1925-08-29;	0
1925-08-30;	0
1925-08-31;	76
1925-09-01;	35
1925-09-02;	0
1925-09-03;	0
1925-09-04;	0
1925-09-05;	7
1925-09-06;	25.7
1925-09-07;	0
1925-09-08;	25.5
1925-09-09;	0
1925-09-10;	0
1925-09-11;	0
1925-09-12;	0
1925-09-13;	0
1925-09-14;	0
1925-09-15;	3.4
1925-09-16;	11
1925-09-17;	0
1925-09-18;	0
1925-09-19;	0
1925-09-20;	1
1925-09-21;	15.4
1925-09-22;	0
1925-09-23;	4.5
1925-09-24;	3.4
1925-09-25;	0
1925-09-26;	15.7
1925-09-27;	0
1925-09-28;	0
1925-09-29;	0
1925-09-30;	0
1925-10-01;	44.1
1925-10-02;	0
1925-10-03;	0
1925-10-04;	0
1925-10-05;	25.1
1925-10-06;	26.7
1925-10-07;	0
1925-10-08;	0
1925-10-09;	35.7
1925-10-10;	0
1925-10-11;	0
1925-10-12;	0
1925-10-13;	0
1925-10-14;	0
1925-10-15;	0
1925-10-16;	0
1925-10-17;	0
1925-10-18;	0
1925-10-19;	0
1925-10-20;	0
1925-10-21;	0
1925-10-22;	0
1925-10-23;	0
1925-10-24;	0
1925-10-25;	0
1925-10-26;	0
1925-10-27;	0
1925-10-28;	0
1925-10-29;	0
1925-10-30;	0
1925-10-31;	0
1925-11-01;	0
1925-11-02;	35.2
1925-11-03;	3
1925-11-04;	24.7
1925-11-05;	5.4
1925-11-06;	0
1925-11-07;	0
1925-11-08;	0
1925-11-09;	0
1925-11-10;	0
1925-11-11;	0
1925-11-12;	0
1925-11-13;	0
1925-11-14;	0
1925-11-15;	0
1925-11-16;	0
1925-11-17;	0
1925-11-18;	0
1925-11-19;	0
1925-11-20;	0
1925-11-21;	0
1925-11-22;	0
1925-11-23;	3.4
1925-11-24;	10
1925-11-25;	0
1925-11-26;	0
1925-11-27;	0
1925-11-28;	0
1925-11-29;	0
1925-11-30;	0
1925-12-01;	0
1925-12-02;	20.7
1925-12-03;	0
1925-12-04;	0
1925-12-05;	0
1925-12-06;	0
1925-12-07;	0
1925-12-08;	0
1925-12-09;	0
1925-12-10;	0
1925-12-11;	0
1925-12-12;	0
1925-12-13;	0
1925-12-14;	0
1925-12-15;	0
1925-12-16;	0
1925-12-17;	0
1925-12-18;	0
1925-12-19;	0
1925-12-20;	0
1925-12-21;	0
1925-12-22;	0
1925-12-23;	0
1925-12-24;	0
1925-12-25;	0
1925-12-26;	0
1925-12-27;	0
1925-12-28;	0
1925-12-29;	0
1925-12-30;	0
1925-12-31;	0
1926-01-01;	0
1926-01-02;	0
1926-01-03;	0
1926-01-04;	0
1926-01-05;	0
1926-01-06;	0
1926-01-07;	0
1926-01-08;	0
1926-01-09;	0
1926-01-10;	0
1926-01-11;	2
1926-01-12;	15
1926-01-13;	73.7
1926-01-14;	0
1926-01-15;	0
1926-01-16;	0
1926-01-17;	0
1926-01-18;	0
1926-01-19;	0
1926-01-20;	0
1926-01-21;	0
1926-01-22;	0
1926-01-23;	0
1926-01-24;	0
1926-01-25;	0
1926-01-26;	0
1926-01-27;	NA
1926-01-28;	0
1926-01-29;	0
1926-01-30;	NA
1926-01-31;	0
1926-02-01;	0
1926-02-02;	0
1926-02-03;	0
1926-02-04;	0
1926-02-05;	0
1926-02-06;	6
1926-02-07;	0
1926-02-08;	0
1926-02-09;	0
1926-02-10;	0
1926-02-11;	4
1926-02-12;	0
1926-02-13;	0
1926-02-14;	0
1926-02-15;	0
1926-02-16;	0
1926-02-17;	0
1926-02-18;	0
1926-02-19;	0
1926-02-20;	0
1926-02-21;	0
1926-02-22;	0
1926-02-23;	0
1926-02-24;	0
1926-02-25;	0
1926-02-26;	0
1926-02-27;	0
1926-02-28;	0
1926-03-01;	0
1926-03-02;	6
1926-03-03;	3
1926-03-04;	7.7
1926-03-05;	7
1926-03-06;	1
1926-03-07;	0
1926-03-08;	0
1926-03-09;	0
1926-03-10;	0
1926-03-11;	0
1926-03-12;	0
1926-03-13;	0
1926-03-14;	2.7
1926-03-15;	0
1926-03-16;	0
1926-03-17;	0
1926-03-18;	0
1926-03-19;	0
1926-03-20;	0
1926-03-21;	1
1926-03-22;	14.4
1926-03-23;	0
1926-03-24;	0
1926-03-25;	0
1926-03-26;	0
1926-03-27;	3.1
1926-03-28;	0
1926-03-29;	0
1926-03-30;	0
1926-03-31;	0
1926-04-01;	0
1926-04-02;	0
1926-04-03;	0
1926-04-04;	0
1926-04-05;	0
1926-04-06;	11
1926-04-07;	2
1926-04-08;	28.1
1926-04-09;	0
1926-04-10;	0
1926-04-11;	13.2
1926-04-12;	0
1926-04-13;	8.85
1926-04-14;	2
1926-04-15;	1.5
1926-04-16;	1.5
1926-04-17;	0
1926-04-18;	0
1926-04-19;	6.95
1926-04-20;	0
1926-04-21;	0
1926-04-22;	0
1926-04-23;	0
1926-04-24;	0
1926-04-25;	4.9
1926-04-26;	14.45
1926-04-27;	0
1926-04-28;	1.25
1926-04-29;	5.8
1926-04-30;	7.8
1926-05-01;	12.7
1926-05-02;	7.6
1926-05-03;	0
1926-05-04;	0
1926-05-05;	0
1926-05-06;	0
1926-05-07;	0
1926-05-08;	0
1926-05-09;	0
1926-05-10;	0
1926-05-11;	2.7
1926-05-12;	39.4
1926-05-13;	43.3
1926-05-14;	0
1926-05-15;	0
1926-05-16;	0
1926-05-17;	0
1926-05-18;	0
1926-05-19;	0
1926-05-20;	0
1926-05-21;	0
1926-05-22;	6
1926-05-23;	10.4
1926-05-24;	0
1926-05-25;	0
1926-05-26;	0
1926-05-27;	0
1926-05-28;	3.7
1926-05-29;	0
1926-05-30;	0
1926-05-31;	7.7
1926-06-01;	30.6
1926-06-02;	25.5
1926-06-03;	0
1926-06-04;	0
1926-06-05;	0
1926-06-06;	22.3
1926-06-07;	12.5
1926-06-08;	0
1926-06-09;	0
1926-06-10;	0
1926-06-11;	0
1926-06-12;	0
1926-06-13;	0
1926-06-14;	0
1926-06-15;	0
1926-06-16;	27.9
1926-06-17;	3.1
1926-06-18;	0
1926-06-19;	0
1926-06-20;	5
1926-06-21;	0.4
1926-06-22;	2.8
1926-06-23;	0
1926-06-24;	10
1926-06-25;	0
1926-06-26;	0
1926-06-27;	0
1926-06-28;	2.3
1926-06-29;	1.5
1926-06-30;	3.2
1926-07-01;	7.03333333333333
1926-07-02;	12.2333333333333
1926-07-03;	28.8666666666667
1926-07-04;	12.8666666666667
1926-07-05;	1.9
1926-07-06;	0
1926-07-07;	18
1926-07-08;	4.66666666666667
1926-07-09;	1.73333333333333
1926-07-10;	0
1926-07-11;	19.6666666666667
1926-07-12;	0
1926-07-13;	1.46666666666667
1926-07-14;	0
1926-07-15;	1.36666666666667
1926-07-16;	11.5
1926-07-17;	8.5
1926-07-18;	10.2666666666667
1926-07-19;	0
1926-07-20;	0
1926-07-21;	0
1926-07-22;	0
1926-07-23;	0
1926-07-24;	1
1926-07-25;	1.26666666666667
1926-07-26;	0
1926-07-27;	0
1926-07-28;	1.53333333333333
1926-07-29;	0
1926-07-30;	25.6
1926-07-31;	0
1926-08-01;	1.5
1926-08-02;	0
1926-08-03;	0
1926-08-04;	0
1926-08-05;	13
1926-08-06;	0
1926-08-07;	0
1926-08-08;	0
1926-08-09;	0
1926-08-10;	0
1926-08-11;	0
1926-08-12;	0
1926-08-13;	10.7
1926-08-14;	0
1926-08-15;	0.7
1926-08-16;	0
1926-08-17;	0
1926-08-18;	4.05
1926-08-19;	5
1926-08-20;	0
1926-08-21;	12.85
1926-08-22;	0.5
1926-08-23;	2.25
1926-08-24;	15
1926-08-25;	1
1926-08-26;	4.65
1926-08-27;	0
1926-08-28;	0
1926-08-29;	40.4
1926-08-30;	0
1926-08-31;	0
1926-09-01;	0
1926-09-02;	0
1926-09-03;	2.35
1926-09-04;	0
1926-09-05;	0
1926-09-06;	0
1926-09-07;	0
1926-09-08;	3
1926-09-09;	0
1926-09-10;	11.45
1926-09-11;	0
1926-09-12;	25.95
1926-09-13;	3.6
1926-09-14;	0
1926-09-15;	1.3
1926-09-16;	0
1926-09-17;	0
1926-09-18;	0
1926-09-19;	4.5
1926-09-20;	14.2
1926-09-21;	0
1926-09-22;	0
1926-09-23;	11.85
1926-09-24;	0
1926-09-25;	0
1926-09-26;	0
1926-09-27;	1.8
1926-09-28;	4.6
1926-09-29;	0
1926-09-30;	0.85
1926-10-01;	0
1926-10-02;	0
1926-10-03;	0
1926-10-04;	0
1926-10-05;	0
1926-10-06;	19.3
1926-10-07;	0
1926-10-08;	0.65
1926-10-09;	7
1926-10-10;	1.65
1926-10-11;	12.15
1926-10-12;	22.9
1926-10-13;	2.25
1926-10-14;	0
1926-10-15;	5.45
1926-10-16;	0
1926-10-17;	3.45
1926-10-18;	0.85
1926-10-19;	0.9
1926-10-20;	0
1926-10-21;	0
1926-10-22;	0
1926-10-23;	0
1926-10-24;	0
1926-10-25;	0
1926-10-26;	0
1926-10-27;	0
1926-10-28;	0
1926-10-29;	0
1926-10-30;	0
1926-10-31;	0
1926-11-01;	0
1926-11-02;	0
1926-11-03;	0
1926-11-04;	0
1926-11-05;	0
1926-11-06;	45.5
1926-11-07;	0
1926-11-08;	0
1926-11-09;	1.9
1926-11-10;	5.05
1926-11-11;	1.7
1926-11-12;	0
1926-11-13;	0
1926-11-14;	0
1926-11-15;	0
1926-11-16;	0
1926-11-17;	3.05
1926-11-18;	0
1926-11-19;	0
1926-11-20;	0
1926-11-21;	0
1926-11-22;	0
1926-11-23;	0
1926-11-24;	0
1926-11-25;	0
1926-11-26;	0
1926-11-27;	0
1926-11-28;	0
1926-11-29;	0
1926-11-30;	0
1926-12-01;	0
1926-12-02;	0
1926-12-03;	0
1926-12-04;	0
1926-12-05;	0
1926-12-06;	0.5
1926-12-07;	0
1926-12-08;	0
1926-12-09;	0
1926-12-10;	0
1926-12-11;	0
1926-12-12;	0
1926-12-13;	0
1926-12-14;	0
1926-12-15;	0
1926-12-16;	0
1926-12-17;	0
1926-12-18;	0
1926-12-19;	0
1926-12-20;	0
1926-12-21;	0
1926-12-22;	0
1926-12-23;	0
1926-12-24;	0
1926-12-25;	0
1926-12-26;	0
1926-12-27;	0
1926-12-28;	0
1926-12-29;	0
1926-12-30;	0
1926-12-31;	0
1927-01-01;	0
1927-01-02;	0
1927-01-03;	0
1927-01-04;	0
1927-01-05;	0
1927-01-06;	0
1927-01-07;	0
1927-01-08;	0
1927-01-09;	0
1927-01-10;	11.2
1927-01-11;	0
